pyramid_owner,pyramid_complex,royal_status,daughter_of,royal_mother_title,likely_wife,wife_title,vizier,regent,relationship_to_king,start_of_reign,end_of_reign,length_of_reign,period,dynasty,title,pyramid_texts,site_or_location,orientation,casing,state_of_completion,superstructure_type,height,length,width,angle,notes
Djoser,Djoser,King,,False,False,False,False,False,,2630.0,2611.0,19.0,Old Kingdom,3.0,Step Pyramid of Djoser,,Saqqara,N-S,Limestone,,Pyramid,59.9,120.0,108.0,74,"15 gates, white limestone casing"
Sekhemkhet,Sekhemkhet,King,,False,False,False,False,False,,2611.0,2603.0,8.0,Old Kingdom,3.0,Unfinished Step Pyramid of Sekhemhet,,Saqqara,N-S,Limestone,Unfinished,Pyramid,70,120.0,120.0,71-75,"niched facade, unfinished, left with rough exterior no smoothed limestone, (Verner mentions limestone casing) , ""probably intended to rise about 70 m (230 ft), in seven steps - higher than Djoser's."" (Lehner, 94)"
Nebka?,Nebka?,King,,False,False,False,False,False,,2649.0,2630.0,19.0,Old Kingdom,3.0,Unfinished Pyramid,,Zawiyet el-Aryan,E-W,Unknown,Unfinished,Pyramid,,200.0,200.0,unknown,debate over whether this is Pyramid of Nebka
Khaba,Khaba,King,,False,False,False,False,False,,2603.0,2599.0,4.0,Old Kingdom,3.0,Layer Pyramid,,Zawiyet el-Aryan,E-W,Unknown,Unfinished,Pyramid,42,83.8,83.8,unknown,began as step pyramid
Sneferu,Sneferu 1,King,,False,False,False,False,False,,2599.0,2575.0,24.0,Old Kingdom,4.0,Meidum Pyramid,,Meidum,E-W,Limestone,Unfinished,Pyramid,94.5,144.32,144.32,52,"limestone casing, causeway 200m, Cult Pyramid - 26 m, 75 degree angle (Verner)"
Sneferu,Sneferu 2,King,,False,False,False,False,False,,2575.0,2551.0,24.0,Old Kingdom,4.0,Bent Pyramid,,Dahshur,E-W,Limestone,,Pyramid,105.07,188.6,188.6,"lower angle 54, upper angle 43","limestone casing, Cult Pyramid - 52 m side, 44 degree angle, 26 m height"
Sneferu,Sneferu 3,King,,False,False,False,False,False,,,,,Old Kingdom,4.0,Red Pyramid,,Dahshur,E-W,Limestone,,Pyramid,109.54,219.08,219.08,43,"red granite false door, no Cult Pyramid, causeway not completed"
Khufu,Khufu,King,,False,False,False,False,False,,2551.0,2528.0,23.0,Old Kingdom,4.0,Pyramid of Khufu,,Giza,,Limestone,,Pyramid,146.59,230.33,230.33,51,"Cult Pyramid - 21.75m (base), 51 degree angle, 13.80 m height, limestone core and casing, likely moves to Giza for the space to build a large pyramid where there was a supply of limestone (Verner) extensive building - king chamber, queen chamber, mortuary and valley temple, boat pits"
Meretites I,Khufu,Queen,,False,True,True,False,False,"Wife of Sneferu, Wife of Khufu",,,,Old Kingdom,4.0,Pyramid G 1-a,,Giza,,Limestone,,Pyramid,30,46.5,46.5,51,"core of limestone, includes temple, chapel, boat pit"
Unknown,Khufu,Queen,,False,True,False,False,False,Unknown,,,,Old Kingdom,4.0,Pyramid G 1-b,,Giza,,Limestone,,Pyramid,30,46.5,46.5,51,"Queen unknown, similar to GI-a"
