,Ruler,Gender,Start of Reign,End of Reign,Length of Reign (Years),Period,Dynasty,Title,Site/Location,Orientation,Exterior Material,State of Completion,Superstructure Type,Height (m),Length (m),Width (m) ,Slope (degrees),Enclosure Wall Dimensions (m),Notes
0,Djoser,King,2630.0,2611.0,19,Old Kingdom,3,Step Pyramid of Djoser ,Saqqara,N-S,Limestone,,Pyramid,60,121,109,,,seems to have enclosure walls and temple according to lehner 
1,Sekhemhet,King ,2611.0,2603.0,8,Old Kingdom,3,Enclosure and Unfinished Step Pyramid of Sekhemhet,Saqqara,N-S,Stone,Unfinished,"Pyramid, Enclosure ",7,120,120,,"536 N/S; 194 E/W, walls 5m tall","unfinished, no limestone casing, ""probably inyended to rise about 70 m (230 ft), in seven steps - higher than Djoser's."" (Lehner, 94)"
2,Nebka?,King,2649.0,2630.0,19,Old Kingdom,3,Pyramid of Nebka? Unfinished Pyramid,Zawiyet el-Aryan,E-W,Stone,Unfinished,"Pyramid, Enclosure ",unknown,200,200,,enclosure wall oriented N-S,debate over whether this is Pyramid of Nebka
3,Khaba,King,2603.0,2599.0,4,Old Kingdom,3,Pyramid of Khaba ,Zawiyet el-Aryan,E-W,Stone,Unfinished,Pyramid,20 (unfinished) ,84,84,,,began as step pyramid
4,Huni? Sneferu?,King,2599.0,2575.0,24,Old Kingdom,4,Meidum Pyramid,Meidum,E-W,Mudbrick,Unfinished,Pyramid,92,144,144,51,,base  = 144 according to Lehner 
5,Sneferu,King,2575.0,2551.0,24,Old Kingdom,4,Bent Pyramid,Dahshur,E-W,Stone,,Pyramid,105,188,188,54,,
6,Sneferu,King,,,,Old Kingdom,4,Red Pyramid,Dahshur,E-W,Stone,,Pyramid,105,220,220,43,,
7,Sneferu,Queen,,,,Old Kingdom,4,"Hetepheres I (wife of Sneferu, mother of Khufu) - Tomb G 7000x",Giza,,,,Shaft Tomb,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,Khufu,King,2551.0,2528.0,23,Old Kingdom,4,Pyramid of Khufu/Great Pyramid of Giza,Giza,,Stone,,Pyramid,146.59,230.33,230.33,51,,
10,Khufu,Queen,,,,Old Kingdom,4,Meretities I - Pyramid G 1-a,,,,,Pyramid,,,,,,
11,Khufu,Queen,,,,Old Kingdom,4,Pyramid G 1-b,,,,,Pyramid,,,,,,
12,Khufu,Queen ,,,,Old Kingdom,4,Henutsen - Pyramid G 1-c,,,,,Pyramid,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,Djedefre,King,2528.0,2520.0,8,Old Kingdom,4,Pyramid of Djedefre,Abu Roash,E-W,Stone,,"Pyramid, Temple, Enclosure",68,106.2,106.2,51,,
15,Djedefre,Queen,,,,Old Kingdom,4,Hetepheres II - Mastaba G 7350,,,,,Mastaba,,,,,,
16,,,,,,,,,,,,,,,,,,,
17,Khafre,King,2520.0,2494.0,26,Old Kingdom,4,Pyramid of Khafre,Giza,,Stone,,Pyramid,143.5,215,215,53,,bottom course made of granite
18,Khafre,Queen,,,,Old Kingdom,4,Unknown Tombs of Khamerembti I and Heknuhezet ,Giza (probably),,,,Tomb,,,,,,
19,Khafre,Queen,,,,Old Kingdom,4,Meresankh II - Mastaba G 7410,,,,,Mastaba,,,,,,
20,Khafre,Queen,,,,Old Kingdom,4,Per [senet] - rock-cut tomb LG 88,,,,,Tomb,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,Menkaure,King,2490.0,2472.0,18,Old Kingdom,4,Pyramid of Menkaure,Giza,,Stone,,Pyramid,65,102.2,104.6,51,,bottom courses made of red granite
23,Menkaure,Queen,,,,Old Kingdom,4,Pyramid G 111-a,,,,,Pyramid,,,,,,
24,Menkaure,Queen,,,,Old Kingdom,4,Pyramid G 111-b,,,,,Pyramid,,,,,,
25,Menkaure,Queen ,,,,Old Kingdom,4,Pyramid G 111-c,,,,,Pyramid,,,,,,
26,Menkaure,Queen ,,,,Old Kingdom,4,Khamerenebti II and Rekhetre - Rock Cut Tombs,,,,,Tombs,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,Shepseskaf,King,2472.0,2467.0,5,Old Kingdom,4,Mastabat el-Faroun; Tomb of Shepseskaf,South Saqqara,,Stone,,"Mastaba, Enclosure",18,99.6,74.4,70,"mudbrick, 3m high","domed roof, granite base, causeway built to 3m"
29,,,,,,,,,,,,,,,,,,,
